ORDEMBD,REFERENCE,STUDY_AIM,DATA_TYPE,SPECIES,GENUS,FAMILY,ORDER,IUCN_STATUS,SP_ORIGIN,SITE,AREA_HA,MUNICIPALITY,STATE,COUNTRY,LONG_X,LAT_Y,PRECISION,UC,VEG_TYPE,Annual_rainfall,Annual_temperature,Altitude,Olsoneconame,OlsonG200r,METHOD,N_POINTS,D_POINTS,LTR_EFF,LTR_ABD_10KM,CAM_EFF,CAM_ABD,SURV_EFF,SURV_ABD,COL_STRT_YR,COL_STRT_MO,COL_END_YR,COL_END_MO
MOEC_00308,NA,NA,Quantitative,Euphractus sexcinctus,Euphractus,Chlamyphoridae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.103899,-19.557019, 10m,NA,Grassland,1342,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,35,1,NA,NA,2012,March,2017,September
MOEC_00309,NA,NA,Quantitative,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.103899,-19.557019, 10m,NA,Grassland,1342,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,35,0,NA,NA,2012,March,2017,September
MOEC_00310,NA,NA,Quantitative,Priodontes maximus,Priodontes,Chlamyphoridae,Cingulata,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.103899,-19.557019, 10m,NA,Grassland,1342,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,35,0,NA,NA,2012,March,2017,September
MOEC_00311,NA,NA,Quantitative,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113579,-19.530121, 10m,NA,Cerrado Vegetation,1339,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,33,0,NA,NA,2012,March,2017,September
MOEC_00312,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113579,-19.530121, 10m,NA,Cerrado Vegetation,1339,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,33,0,NA,NA,2012,March,2017,September
MOEC_00313,NA,NA,Quantitative,Euphractus sexcinctus,Euphractus,Chlamyphoridae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113579,-19.530121, 10m,NA,Cerrado Vegetation,1339,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,33,0,NA,NA,2012,March,2017,September
MOEC_00314,NA,NA,Quantitative,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113579,-19.530121, 10m,NA,Cerrado Vegetation,1339,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,33,0,NA,NA,2012,March,2017,September
MOEC_00315,NA,NA,Quantitative,Priodontes maximus,Priodontes,Chlamyphoridae,Cingulata,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113579,-19.530121, 10m,NA,Cerrado Vegetation,1339,27.60000038,113,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,33,0,NA,NA,2012,March,2017,September
MOEC_00316,NA,NA,Quantitative,Myrmecophaga tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,VU,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113638,-19.557216, 10m,NA,Ruderal area,1341,27.5,115,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,39,0,NA,NA,2012,March,2017,September
MOEC_00317,NA,NA,Quantitative,Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,LC,NATIVE,Fazenda Barranco Alto,10000,AQUIDAUANA,MATO GROSSO DO SUL,BRAZIL,-56.113638,-19.557216, 10m,NA,Ruderal area,1341,27.5,115,Pantanal,Pantanal Flooded Savannas,CAMERA TRAP,NA,NA,NA,NA,39,0,NA,NA,2012,March,2017,September
